Quote,Author
"Money is not arbitrary. If you look at the history of money you see all different things such as textiles, Yap stones [...] and it's not arbitrary they are very consistent things like unforgeable costliness, the demand for scarce supply and the durability.",Nick Szabo
Bitcoin fixes you.,Pierre Rochard
"It might even be helpful to think of the parameters of Bitcoin as being similar to the rotation of the earth, sun, moon, or stars, forces outside of our control which are to be lived, not altered.",Saifedean Ammous
Vires in Numeris,epii
Fix the money (Fix the pricing mechanism of capitalistic interactions). Fix the world.,Marty Bent
"Bitcoin actually has the balance and incentives right, and that is why it is starting to take off.",Julian Assange
Wealth isn't the gold of pirates—wealth is energy.,Buckminster Fuller
"Money should not be free as in beer, it should be free as in freedom. Libre money, not free money. Bitcoin, not fiat.",Pierre Rochard
"The state may try to ban our tools, but if we never use them for fear of them being banned, then we have already lost, no?",Ross Ulbricht
The price of admission in bitcoin is your ego. The price of admission in the fiat system is your soul.,Anil
You can lead a nocoiner to the sats spigot but you can't make them stack.,Marty Bent
If you're not obsessed with Bitcoin then you don't understand what Bitcoin is.,John Vallis
Being weird is one of Bitcoin’s defense mechanisms.,Alex Gladstein
"Bitcoin is not an inflation hedge, it's a system hedge.",Raoul Pal
"This is our meme world, and everyone else is just living in it.",Michael Goldstein
Truth humbles. And Bitcoin is Truth.,John Vallis
"The business model for surveillance, which can be used for ill, is advertising.",Nathaniel Whittemore
Bitcoin is perhaps the first scarce thing in the world we can say we truly possess.,Jimmy Song
No amount of violence will ever solve a math problem.,Julian Assange
Bitcoin enables individuals to reclaim and reassert their Natural Rights using a system that is inherently significantly harder to control.,Marty Bent
Trusted third parties are security holes.,Nick Szabo
Freedom brings men rudely and directly face to face with their own personal responsibility for their own free actions.,Frank Meyer
The Bitcoin tree is tall; its branches spread wide and its roots run deep.,Martin Fischer
Bitcoin is the renaissance of responsibility.,Aleks Svetski
We know the source code. We know the rules.,Hal Finney
"By attaching energy to a block, we give it “form”, allowing it to have real weight & consequences in the physical world.",Hugo Nguyen
Bitcoin will change us more than we will change it.,Marty Bent
If you want to protect yourself from this over arching legal system then you will want to hide as much of your activity as possible.,Jameson Lopp
Bitcoin doesn't need saving.,Francis Pouliot
Only a communication link and a power source is required to participate in the ecosystem.,Hass McCook
Bitcoin doesn’t care about who you are or what your feelings are. Bitcoin represents equal opportunity to participate in a system not encumbered by our legacy fiat structures.,White Rabbit
"Price touches everything, and money touches price.",John Vallis
"I realised, oh, this ledger is now being maintained on everyone’s computers in real time so no one can freeze it, no one can reverse it, no one can counterfeit, no one can double spend. That’s when it really clicked for me.",Charlie Shrem
Bitcoin is a seed of hope in a society which lost vision years ago and perspective just recently.,Kim Neunert
Anyone who understands economics and finance and how markets work will be a maximalist because it is more efficient to have one currency than a bunch of ones.,Peter Todd
Bitcoin is a tool of resistance gifted to us by Satoshi. The idea has escaped and the idea of cryptocurrency will not be stopped.,Amir Taaki
Encryption works. Properly implemented strong crypto systems are one of the few things that you can rely on.,Edward Snowden
Bitcoin raised $0 to become the internet of money.,Dan Held
It doesn't matter if you have nothing to hide. Because privacy isn't about something to hide. Privacy is about something to protect. And the thing to protect is a free and open society.,Edward Snowden
Bitcoin will create new industries the same way the internet created businesses that could not have been imagined before. Bitcoin will destroy businesses the same way the internet transformed industries that were once considered irreplaceable.,Misir Mahmudov
Bitcoin wasn’t created to make you rich. It was created so that you can opt out of a broken system.,Chairforce
We are so early it's not even funny,Brian @BTCDA
We’re talking about a change in how humanity organises itself.,Andreas Antonopoulos
"What if Bitcoin is a gun and [people] need to be armed, despite the danger of such a weapon?",John Carvalho
Buying bitcoin is an act of sanity in an insane world.,Bitcoin Tina
Those who wait last to convert to bitcoin will be impoverished by Bitcoin.,David Bailey
Bitcoin hype cycles are waves hitting the shore & then receding from it. Every subsequent wave is bigger. Those who cling onto the shore despite the force of the receding flow succeed.,Misir Mahmudov
Code mixed with robust game theory is superior to hierarchical command and control,ℭoinsure
Bitcoin is an impenetrable fortress of validation.,Stop and Decrypt
Bitcoin is a teacher. ,Michael Krieger
Pay Me in Bitcoin is a movement.,Russell Okung
Bitcoin is for the politically unconnected.,Russell Okung
”Mild” steady inflation cannot help — it can lead only to outright inflation.,Friedrich Hayek
Decentralized and private payments are a necessary innovation for a digital future where we retain our civil liberties and personal freedoms.,Alex Gladstein
[...] a concerted and state-sanctioned attempt to kill it never materialized. [...] no-one wanted to set a legal precedent of censoring general purpose technology simply because of one set of legally problematic uses.,Simon Morris
Think of a hardware wallet as a single condom for your Bitcoins. Correct usage can protect you from the vast majority of unwanted pregnancies.,Felix Weis
Everyone has got to believe in something. Why not believe in something verifiable and unforgeable.,Hass McCook
"Price is irrelevant, freedom is priceless.",Justine
"Money is the game which governs the greatest quantity of human time across history. Bitcoin is the only money in existence with rules that cannot be bent or broken.In this way, the importance of Bitcoin to the future coordination of human action can hardly be overstated.",Robert Breedlove
"Always remember bitcoin has no leaders, no central authority, and it never will as long as you don't let it. Let the mantra of Don't Trust, Verify ring true from mainstreet to wallstreet.",Vortex
